Id,Section,SubSection,Label,Question,Answer
85,digibank Debit Card,Debit card annual fee/charges,debit_card_waiver,I have not been charged any debit card charges before. Why am I being charged now? Can I apply for waiver of DC charges?,"The annual debit card charges of ₹150+GST are only charged from the second year of digiSavings account opening. We had not charged the annual fees before this year, even though the same is included in our Rates and Fees, as a service gesture towards our customers.
We regret that there are no waivers applicable on the annual debit card charges."
86,digibank Debit Card,Debit card annual fee/charges,debit_card_replacement_fee,"I have used more than one debit card, am I going to be charged for all cards? Would I also be charged extra for replacement card apart from the annual charges?","We will only deduct annual charges for the debit card presently being used by you. Kindly note that you may be also charged separately for any future debit card reissuances, if you have not exceeded the limit of 4 replacement debit cards for that year."
87,digibank Debit Card,Debit card annual fee/charges,debit_card_charges,Would I still be charged if I have not used my card or have blocked my card & have not requested for a replacement card yet?,"The debit card annual fees will be charged for all active debit cards, even if you are not using the same. However, you will be charged the debit card annual fees and reissuance charges separately, whenever you submit the request for the reissuance, provided you have not exceeded the limit of 4 replacement debit cards for that year."
88,digibank Debit Card,Debit card annual fee/charges,debit_card_international_usage_fee,"digibank Debit Card is not operational on all International Websites, why should I pay the charges?","digibank Debit Card can be used at 2 million ATMs worldwide and you can also shop at any physical store around the world, after you activate it for international usage. The card can be used on some international websites and we are always enhancing our features. You get all these benefits at a nominal annual charge of ₹177 (₹150+GST)."
89,digibank Debit Card,Debit card annual fee/charges,free_debit_card,Will there be any extra features associated with my debit card or can I get an account where I am offered a free debit card?,"If you would like to explore other account options, please visit our website for more details. Please do let us know what extra features you would like with your digibank Debit Card. You can write to us at support@dbs.com."
90,digibank Debit Card,Debit card annual fee/charges,debit_card_charges_feedback,"Now that I must pay the annual charges, how can I share my feedback regarding the debit card charges being applied?","If you would like to share your feedback regarding the annual debit card charges being levied, please write to us support@dbs.com."
91,digibank Debit Card,Features,debit_card_benefit,What benefits do I get with the debit card?,"Your virtual debit card, which comes with digibank e-wallet, can be used for online and electronic transactions in India, within specified limits.

Your physical debit card, which comes with digiSavings, can be used anywhere regular debit cards can be used, including online and point of sale transactions, as well as overseas. You also get free unlimited cash withdrawals at nearly 2,00,000 ATMs across India.

Both debit cards are subject to usage limits."
92,digibank Debit Card,Features,digibank_reward,What rewards can I get with digibank?,"Check out our <a title=""Deals and Offers"" href=""https://www.dbs.com/digibank/in/deals-and-offers.page"">deals page</a>  for the latest offers. Our rewards, deals, and offers are changing all the time. It simply wouldn't be possible to list them all here!"
93,digibank Debit Card,Tap to Pay Queries,visa_tap_pay,What is Visa Tap to Pay?,"Visa Tap to Pay is a new contactless method of payment - the latest evolution in Visa payments. It is a simple, secure and quick payment method. The technology enables cardholders to 'Tap' their card on a contactless Point-of-Sale (PoS) terminal to make transactions up to INR 2,000, rather than 'swiping' or 'dipping' their card into PoS terminals."
94,digibank Debit Card,Cashback Related,qualify_cashback,How do I qualify for cashback?,We are offering cash back on qualifying transactions done on your digibank debit card. Find more details for our cashback program: https://www.dbs.com/digibank/in/deals-and-offers.page
95,digibank Debit Card,Cashback Related,my_cashback,How can I find if I get my cashback?,"Cashback will be reflected in your transaction history. It would have the word ""cashback"" in the transaction description."
96,digibank Debit Card,Cashback Related,cashback_program,Is there a cap on cashback amount?,"Yes there is a cap on cashback, please find below details for our cashback program: https://www.dbs.com/digibank/in/deals-and-offers.page"
